ID,Name,Position,Team
001,Le'Veon Bell,RB,PIT
002,Todd Gurley II,RB,LAR
003,David Johnson,RB,ARI
004,Ezekiel Elliott,RB,DAL
005,Antonio Brown,WR,PIT
006,Saquon Barkley,RB,NYG
007,Alvin Kamara,RB,NO
008,Julio Jones,WR,ATL
009,DeAndre Hopkins,WR,HOU
010,Odell Beckham Jr.,WR,NYG
011,Kareem Hunt,RB,KC
012,Dalvin Cook,RB,MIN
013,Keenan Allen,WR,LAC
014,Leonard Fournette,RB,JAC
015,Melvin Gordon,RB,LAC
016,Michael Thomas,WR,NO
017,A.J. Green,WR,CIN
018,Christian McCaffrey,RB,CAR
019,Devonta Freeman,RB,ATL
020,Davante Adams,WR,GB
021,Rob Gronkowski,TE,NE
022,Mike Evans,WR,TB
023,LeSean McCoy,RB,BUF
024,Travis Kelce,TE,KC
025,Jerick McKinnon,RB,SF
026,Joe Mixon,RB,CIN
027,Larry Fitzgerald,WR,ARI
028,T.Y. Hilton,WR,IND
029,Adam Thielen,WR,MIN
030,Stefon Diggs,WR,MIN
031,Jordan Howard,RB,CHI
032,Zach Ertz,TE,PHI
033,Tyreek Hill,WR,KC
034,Demaryius Thomas,WR,DEN
035,Doug Baldwin,WR,SEA
036,Allen Robinson,WR,CHI
037,Golden Tate,WR,DET
038,Amari Cooper,WR,OAK
039,Josh Gordon,WR,CLE
040,Jarvis Landry,WR,CLE
041,Marvin Jones Jr.,WR,DET
042,Kenyan Drake,RB,MIA
043,Alshon Jeffery,WR,PHI
044,Brandin Cooks,WR,LAR
045,Royce Freeman,RB,DEN
046,Derrick Henry,RB,TEN
047,Alex Collins,RB,BAL
048,Jay Ajayi,RB,PHI
049,Marshawn Lynch,RB,OAK
050,Dion Lewis,RB,TEN
051,Lamar Miller,RB,HOU
052,Mark Ingram II,RB,NO
053,Chris Hogan,WR,NE
054,JuJu Smith-Schuster,WR,PIT
055,Robert Woods,WR,LAR
056,Michael Crabtree,WR,BAL
057,Emmanuel Sanders,WR,DEN
058,Aaron Rodgers,QB,GB
059,Tom Brady,QB,NE
060,Duke Johnson Jr.,RB,CLE
061,Rex Burkhead,RB,NE
062,Isaiah Crowell,RB,NYJ
063,Tevin Coleman,RB,ATL
064,Greg Olsen,TE,CAR
065,Delanie Walker,TE,TEN
066,Evan Engram,TE,NYG
067,Corey Davis,WR,TEN
