Name,Player,Position,Team
1,Le'Veon Bell,RB,PIT
2,Todd Gurley II,RB,LAR
3,David Johnson,RB,ARI
4,Ezekiel Elliott,RB,DAL
5,Antonio Brown,WR,PIT
6,Saquon Barkley,RB,NYG
7,Alvin Kamara,RB,NO
8,Julio Jones,WR,ATL
9,Odell Beckham Jr.,WR,NYG
10,DeAndre Hopkins,WR,HOU
11,Kareem Hunt,RB,KC
12,Leonard Fournette,RB,JAC
13,Dalvin Cook,RB,MIN
14,Melvin Gordon,RB,LAC
15,Keenan Allen,WR,LAC
16,Michael Thomas,WR,NO
17,Christian McCaffrey,RB,CAR
18,A.J. Green,WR,CIN
19,Devonta Freeman,RB,ATL
20,Rob Gronkowski,TE,NE
21,Davante Adams,WR,GB
22,Mike Evans,WR,TB
23,LeSean McCoy,RB,BUF
24,T.Y. Hilton,WR,IND
25,Adam Thielen,WR,MIN
26,Stefon Diggs,WR,MIN
27,Tyreek Hill,WR,KC
28,Larry Fitzgerald,WR,ARI
29,Travis Kelce,TE,KC
30,Zach Ertz,TE,PHI
31,Doug Baldwin,WR,SEA
32,Allen Robinson,WR,CHI
33,Amari Cooper,WR,OAK
34,Josh Gordon,WR,CLE
35,Demaryius Thomas,WR,DEN
36,Jordan Howard,RB,CHI
37,Joe Mixon,RB,CIN
38,Kenyan Drake,RB,MIA
39,Jarvis Landry,WR,CLE
40,Marvin Jones Jr.,WR,DET
41,Brandin Cooks,WR,LAR
42,Chris Hogan,WR,NE
43,Royce Freeman,RB,DEN
44,Derrick Henry,RB,TEN
45,Alex Collins,RB,BAL
46,Jay Ajayi,RB,PHI
47,Marshawn Lynch,RB,OAK
48,Lamar Miller,RB,HOU
49,Mark Ingram II,RB,NO
50,Carlos Hyde,RB,CLE
51,Golden Tate,WR,DET
52,JuJu Smith-Schuster,WR,PIT
53,Emmanuel Sanders,WR,DEN
54,Corey Davis,WR,TEN
55,Alfred Morris,RB,SF
56,Aaron Rodgers,QB,GB
57,Tom Brady,QB,NE
58,Peyton Barber,RB,TB
59,Chris Carson,RB,SEA
60,Dion Lewis,RB,TEN
61,Rex Burkhead,RB,NE
62,Michael Crabtree,WR,BAL
63,Marquise Goodwin,WR,SF
64,Robert Woods,WR,LAR
65,Will Fuller V,WR,HOU
66,Cam Newton,QB,CAR
67,Russell Wilson,QB,SEA
68,Deshaun Watson,QB,HOU
69,Carson Wentz,QB,PHI
70,Devin Funchess,WR,CAR
71,Sammy Watkins,WR,KC
72,Cooper Kupp,WR,LAR
73,Robby Anderson,WR,NYJ
74,Josh Doctson,WR,WAS
75,Pierre Garcon,WR,SF
76,Kenny Stills,WR,MIA
77,Greg Olsen,TE,CAR
78,Delanie Walker,TE,TEN
79,Evan Engram,TE,NYG
80,Tevin Coleman,RB,ATL
81,Jamison Crowder,WR,WAS
82,Kelvin Benjamin,WR,BUF
83,Jamaal Williams,RB,GB
84,Jimmy Graham,TE,GB
85,Isaiah Crowell,RB,NYJ
86,Rashaad Penny,RB,SEA
87,Adrian Peterson,RB,WAS
88,Nelson Agholor,WR,PHI
89,Alshon Jeffery,WR,PHI
90,Jordan Reed,TE,WAS
91,Sterling Shepard,WR,NYG
